Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,B365>2.5,B365<2.5
E0,21/01/2024,15:00,Arsenal,Tottenham,0,3,A,0,0,D,Test Ref,14,20,4,4,8,13,4,8,2,4,0,0,1.51,4.4,5.84,1.51,4.4,5.84,2.29,1.74,2.29,1.74
E0,08/01/2024,15:00,Nott'm Forest,Aston Villa,1,3,A,0,0,D,Test Ref,8,6,2,1,17,19,5,7,1,1,0,0,5.65,3.95,2.77,5.65,3.95,2.77,2.03,1.97,2.03,1.97
E0,16/01/2024,15:00,Fulham,Chelsea,3,2,H,0,0,D,Test Ref,11,13,5,3,5,12,9,4,2,2,0,0,2.92,2.73,5.34,2.92,2.73,5.34,2.09,1.76,2.09,1.76
E0,07/01/2024,15:00,Liverpool,Brentford,2,1,H,1,1,D,Test Ref,18,11,3,5,16,17,11,11,2,0,0,0,5.56,3.0,3.17,5.56,3.0,3.17,2.23,1.65,2.23,1.65
E0,20/01/2024,15:00,West Ham,Southampton,1,5,A,1,1,D,Test Ref,5,5,1,1,7,11,5,10,2,0,0,0,2.49,2.99,2.01,2.49,2.99,2.01,1.64,2.01,1.64,2.01
E0,24/01/2024,15:00,Man United,Bournemouth,3,1,H,0,0,D,Test Ref,21,6,8,1,5,7,6,2,1,4,0,0,2.36,3.84,4.86,2.36,3.84,4.86,1.66,2.2,1.66,2.2
E0,16/01/2024,15:00,Ipswich,Wolves,2,2,D,1,1,D,Test Ref,8,23,3,12,8,13,5,8,0,1,0,0,4.73,2.92,3.8,4.73,2.92,3.8,2.17,1.65,2.17,1.65
E0,14/01/2024,15:00,Brighton,Man City,3,0,H,3,0,H,Test Ref,20,20,11,11,12,8,9,2,2,0,0,0,4.11,2.52,1.69,4.11,2.52,1.69,2.13,1.41,2.13,1.41
E0,16/01/2024,15:00,Everton,Leicester,3,1,H,0,1,A,Test Ref,11,7,5,2,11,10,4,7,4,2,0,0,5.02,3.51,3.97,5.02,3.51,3.97,1.94,1.61,1.94,1.61
E0,15/01/2024,15:00,Newcastle,Crystal Palace,1,1,D,1,0,H,Test Ref,21,18,12,10,19,17,2,5,4,0,0,0,3.87,4.37,4.54,3.87,4.37,4.54,2.03,1.51,2.03,1.51
