Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,B365>2.5,B365<2.5
SP1,01/01/2024,15:00,Real Sociedad,Valencia,2,2,D,0,1,A,Test Ref,8,10,3,4,7,8,3,3,0,4,0,0,3.42,3.78,3.79,3.42,3.78,3.79,1.57,2.05,1.57,2.05
SP1,04/01/2024,15:00,Ath Madrid,Vallecano,2,1,H,0,0,D,Test Ref,19,8,9,2,18,13,10,11,2,2,0,0,3.11,3.03,5.55,3.11,3.03,5.55,1.42,1.76,1.42,1.76
SP1,11/01/2024,15:00,Celta,Girona,1,1,D,1,1,D,Test Ref,11,11,4,5,8,6,7,5,1,4,0,0,3.56,2.83,3.32,3.56,2.83,3.32,2.44,1.43,2.44,1.43
SP1,13/01/2024,15:00,Villarreal,Ath Bilbao,1,0,H,1,0,H,Test Ref,7,24,3,11,8,9,3,7,1,3,0,0,5.01,3.25,1.52,5.01,3.25,1.52,1.51,1.4,1.51,1.4
SP1,24/01/2024,15:00,Barcelona,Sevilla,4,0,H,1,0,H,Test Ref,6,5,1,1,9,15,11,10,1,1,0,0,3.57,3.18,5.05,3.57,3.18,5.05,1.62,1.48,1.62,1.48
SP1,06/01/2024,15:00,Leganes,Las Palmas,2,0,H,0,0,D,Test Ref,23,14,12,6,17,11,5,3,0,4,0,0,4.28,4.4,3.04,4.28,4.4,3.04,2.32,2.41,2.32,2.41
SP1,17/01/2024,15:00,Valladolid,Getafe,2,0,H,0,0,D,Test Ref,23,23,10,7,18,6,9,7,4,0,0,0,5.87,4.15,1.72,5.87,4.15,1.72,1.96,2.2,1.96,2.2
SP1,22/01/2024,15:00,Osasuna,Alaves,4,1,H,1,0,H,Test Ref,20,13,11,3,13,15,9,5,4,0,0,0,3.85,2.62,3.0,3.85,2.62,3.0,2.34,2.16,2.34,2.16
SP1,09/01/2024,15:00,Betis,Real Madrid,1,0,H,1,0,H,Test Ref,8,21,2,5,17,14,7,7,2,2,0,0,2.98,2.83,2.52,2.98,2.83,2.52,1.66,1.95,1.66,1.95
SP1,14/01/2024,15:00,Mallorca,Espanol,1,7,A,0,0,D,Test Ref,8,20,4,7,16,11,5,7,3,2,0,0,3.1,3.51,2.1,3.1,3.51,2.1,2.15,1.86,2.15,1.86
SP1,14/02/2024,15:00,Barcelona,Espanol,1,2,A,1,0,H,Test Ref,20,7,4,2,9,18,2,11,3,4,0,0,1.25,2.92,5.2,1.25,2.92,5.2,1.85,2.1,1.85,2.1
SP1,06/02/2024,15:00,Vallecano,Villarreal,3,1,H,1,1,D,Test Ref,24,17,7,7,9,6,10,6,0,2,0,0,4.84,2.92,1.65,4.84,2.92,1.65,1.79,1.55,1.79,1.55
